ordinance,summary,votes
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Giarrusso - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Green - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Harris - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",King - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Moreno - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Morrell - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Thomas - yeas
"33,974","An Ordinance to amend and reordain Sections 146-760, 146-761, 146-763, and 146-765 of the
Code of the City of New Orleans relative to honorary street dedications to clarify that non-
profit organizations can be recognized by honorary street names; to clarify the boundaries of
the Vieux Carre for the purposes of the honorary street dedications; and otherwise to provide
with respect thereto.",Invalid
"33,977","1. On page 6 (Article 18.24.B), on lines 91 and 92, after the word
""in"" and before the word ""and"", remove the word ""height;"" and
insert the following new phrase in lieu thereof:
""height, unless the proposed building was approved in the
Development Master Plan and has undergone only minor
changes, as defined in Article 4.5.F.1, in which case no
additional NPP shall be required;""
2. On page 6 (Article 18.24.B) on line 94, after the word
""buildable"", remove the word ""area."" and insert the
following new phrase in lieu thereof:
""area, unless the proposed building was approved in the
Development Master Plan and has undergone only minor
changes, as defined in Article 4.5.F.1, in which case no
additional NPP shall be required.""
3. On page 6, lines 88 and 89, after the word ""in"" and before the
word ""below"", remove the phrase ""item 3.b"" and insert in lieu
thereof ""items 3.b and 3.c"".
4. On page 7, remove the text from lines 99 to 101 in its entirety
and insert the following in lieu thereof:
C. Applicants shall follow all Project NPP requirements,
including all content and general procedures
applicable to zoning text and map amendments,
as provided in Article 4.2.D.2, except with regard to
mailed notice, which shall be as follows. Mailed
notice for the NPP shall be sent by regular mail at
least fifteen (15) days before the public hearing to
the parties identified in Section 3.3.B.2, except that
such notice shall be expanded to all properties within
1,200 (one thousand two hundred) feet of property
lines of the subject property. Additionally, mailed
notice shall be provided to the Lower Garden District
and Warehouse District neighborhood associations,
as well as the Office of Community Development for
distribution to interested stakeholders, including but
22/38

6/23/23, 5:40 PM
not limited to residents of River Garden developments.
5. On page 7, lines 107 and 108, after the phrase ""Article 4.3.""
and before the word ""The"", insert the following new phrase:
""In addition, the City Planning Commission and the
Council decisions on applications for a conditional
use shall evaluate the following factors, specific to
the CCN Overlay District:
1. The proposed use is compatible with the CCN
Overlay District's purpose to promote a
walkable, mixed-use, and mixed-income
neighborhood with public benefits.
2. The proposed use preserves and promotes
public access to the CCN Overlay District,
including sightlines and/or direct access to
the Mississippi Riverfront.
3. The proposed use does not create a material
detriment to the public health, safety, and
welfare to properties and residents within
the CCN Overlay District, as well as neighbors
in surrounding areas, including but not limited
to the Lower Garden District, Warehouse District,
and River Garden developments.
6. On page 9 (Table 18-1), line 162, remove the existing row for
""Hotel/Motel"" and enter the following in lieu thereof:
TABLE 18-1: Permitted and Conditional Uses
***
COMMERCIAL USE
***
Hotel/Motel
E PICS
7. On page 13, after line 238 and before line 239, enter the
following new phrase:
5 Hotels shall be considered permitted uses if they:
are located on the same square as a cultural facility of
(1)
at least 10,000 square feet in size; or
have less than 180 individual guest rooms and are located
(2)
at least 300 feet from any residential zoning district, as
measured from the closest lot line.
Hotels shall be prohibited if:
23/38

6/23/23, 5:40 PM
There is already one (1) hotel permitted on the square; or
*
*
They are within the square bounded by Annunciation,
Melpomene, Euterpe, and Tchoupitoulas Streets
(excluding Lot MF-1), or the square bounded by Thalia,
Annunciation, Melpomene, and Tchoupitoulas Streets.
All other hotels shall be a conditional use.
8. On page 23, delete lines 450-452, and insert the following in
lieu thereof:
""Additional temporary surface parking shall be
Permitted subject to time restrictions up to 5 years.
Permanent parking lots shall be subject to the
standards of the Overlay District and Article 23 of
the Comprehensive Zoning Ordinance, while certain
design standards for temporary parking lots may be
suspended commensurate with the time restrictions
as set forth by the City Planning Commission and
approved in the Development Master Plan.""",Giarrusso - yeas
"33,977","1. On page 6 (Article 18.24.B), on lines 91 and 92, after the word
""in"" and before the word ""and"", remove the word ""height;"" and
insert the following new phrase in lieu thereof:
""height, unless the proposed building was approved in the
Development Master Plan and has undergone only minor
changes, as defined in Article 4.5.F.1, in which case no
additional NPP shall be required;""
2. On page 6 (Article 18.24.B) on line 94, after the word
""buildable"", remove the word ""area."" and insert the
following new phrase in lieu thereof:
""area, unless the proposed building was approved in the
Development Master Plan and has undergone only minor
changes, as defined in Article 4.5.F.1, in which case no
additional NPP shall be required.""
3. On page 6, lines 88 and 89, after the word ""in"" and before the
word ""below"", remove the phrase ""item 3.b"" and insert in lieu
thereof ""items 3.b and 3.c"".
4. On page 7, remove the text from lines 99 to 101 in its entirety
and insert the following in lieu thereof:
C. Applicants shall follow all Project NPP requirements,
including all content and general procedures
applicable to zoning text and map amendments,
as provided in Article 4.2.D.2, except with regard to
mailed notice, which shall be as follows. Mailed
notice for the NPP shall be sent by regular mail at
least fifteen (15) days before the public hearing to
the parties identified in Section 3.3.B.2, except that
such notice shall be expanded to all properties within
1,200 (one thousand two hundred) feet of property
lines of the subject property. Additionally, mailed
notice shall be provided to the Lower Garden District
and Warehouse District neighborhood associations,
as well as the Office of Community Development for
distribution to interested stakeholders, including but
22/38

6/23/23, 5:40 PM
not limited to residents of River Garden developments.
5. On page 7, lines 107 and 108, after the phrase ""Article 4.3.""
and before the word ""The"", insert the following new phrase:
""In addition, the City Planning Commission and the
Council decisions on applications for a conditional
use shall evaluate the following factors, specific to
the CCN Overlay District:
1. The proposed use is compatible with the CCN
Overlay District's purpose to promote a
walkable, mixed-use, and mixed-income
neighborhood with public benefits.
2. The proposed use preserves and promotes
public access to the CCN Overlay District,
including sightlines and/or direct access to
the Mississippi Riverfront.
3. The proposed use does not create a material
detriment to the public health, safety, and
welfare to properties and residents within
the CCN Overlay District, as well as neighbors
in surrounding areas, including but not limited
to the Lower Garden District, Warehouse District,
and River Garden developments.
6. On page 9 (Table 18-1), line 162, remove the existing row for
""Hotel/Motel"" and enter the following in lieu thereof:
TABLE 18-1: Permitted and Conditional Uses
***
COMMERCIAL USE
***
Hotel/Motel
E PICS
7. On page 13, after line 238 and before line 239, enter the
following new phrase:
5 Hotels shall be considered permitted uses if they:
are located on the same square as a cultural facility of
(1)
at least 10,000 square feet in size; or
have less than 180 individual guest rooms and are located
(2)
at least 300 feet from any residential zoning district, as
measured from the closest lot line.
Hotels shall be prohibited if:
23/38

6/23/23, 5:40 PM
There is already one (1) hotel permitted on the square; or
*
*
They are within the square bounded by Annunciation,
Melpomene, Euterpe, and Tchoupitoulas Streets
(excluding Lot MF-1), or the square bounded by Thalia,
Annunciation, Melpomene, and Tchoupitoulas Streets.
All other hotels shall be a conditional use.
8. On page 23, delete lines 450-452, and insert the following in
lieu thereof:
""Additional temporary surface parking shall be
Permitted subject to time restrictions up to 5 years.
Permanent parking lots shall be subject to the
standards of the Overlay District and Article 23 of
the Comprehensive Zoning Ordinance, while certain
design standards for temporary parking lots may be
suspended commensurate with the time restrictions
as set forth by the City Planning Commission and
approved in the Development Master Plan.""",Green - yeas
