title,brief,council_member,vote
,,,Not available
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",Giarrusso,yeas
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",Green,yeas
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",Harris,yeas
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",Moreno,yeas
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",Morrell,yeas
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",Thomas,yeas
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",,recused
RESOLUTION R-23-166,"Encouraging the State Legislature to authorize reimbursement of the $6.8 million paid by
Road Home program recipients and encouraging the State to stop any further collection of
funds from recipients who entered into payment plan agreements.",King,absent
RESOLUTION R-23-150,"IN RE: DIRECTING ENTERGY NEW ORLEANS, INC TO INVESTIGATE AND
REMEDIATE ELECTRIC SERVICE DISRUPTIONS AND COMPLAINTS AND TO
https://cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4512&doc_id=cf529a12-e38f-11ed-95dd-0050569183fa
8/47

cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4512&doc_id=cf529a12-e38f-11ed-95dd-0050569183fa
6/23/23, 5:38 PM
ESTABLISH MINIMUM ELECTRIC RELIABILITY PERFORMANCE STANDARDS
AND FINANCIAL PENALTY MECHANISMS
A RESOLUTION ESTABLISHING A PROCEDURAL SCHEDULE TO ALLOW FOR THE
SUBMISSION OF ADDITIONAL EVIDENCE REGARDING THE PENALTY IMPOSED
BY THE COUNCIL IN RESOLUTION R-19-442 PURSUANT TO THE ORDER ON
MOTION FOR REMAND BY CIVIL DISTRICT COURT, PARISH OF ORLEANS, CASE
NO. 2019-12654, DIVISION ""B-5""
R-23-150
D. DOCKET NO. UD-17-04
Annotation:
(Joint Utility, Cable, Telecommunications and Technology Committee, Public Works,
Sanitation and Environmental Committees recommended approval).
(Council Rule 34. Postponement Deadline 8/18/23).
RESOLUTION - NO. R-23-151 - BY: COUNCILMEMBERS MORRELL, MORENO,
13.
GIARRUSSO, HARRIS, KING, GREEN AND THOMAS
Brief:
A RESOLUTION AND ORDER AUTHORIZING ENTERGY NEW ORLEANS, LLC TO
HEDGE A PORTION OF ITS 2023-2024 WINTER HEATING SEASON DISTRIBUTION
SYSTEM NATURAL GAS REQUIREMENTS
Annotation:
(Joint Utility, Cable, Telecommunications and Technology Committee, Public Works,
Sanitation and Environmental Committee recommended approval).
(Council Rule 34. Postponement Deadline 8/18/23).
ADOPTED.
R-23-151
14. MOTION - NO. M-23-152 - BY: COUNCILMEMBERS MORRELL, MORENO,
GIARRUSSO, HARRIS, KING, GREEN AND THOMAS
Brief:
Authorizing the President of the Council to sign an appropriate contract or contract
amendment with the law firm Dentons US LLP, to provide for the continuation of electric
and/or natural gas legal consulting services to the Council in electric and gas utility regulatory
matters through the end of calendar year 2023 for a maximum compensation of $4,537,500.00
for said year.
Annotation:
(Joint Utility, Cable, Telecommunications and Technology Committee, Public Works,
Sanitation and Environmental Committee recommended approval).
(Council Rule 34. Postponement Deadline 8/18/23).
ADOPTED.
M-23-152
https://cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4512&doc_id=cf529a12-e38f-11ed-95dd-0050569183fa
9/47

cityofno.granicus.com/MinutesViewer.php?view_id=42&clip_id=4512&doc_id=cf529a12-e38f-11ed-95dd-0050569183fa
6/23/23, 5:38 PM
15. RESOLUTION - NO. R-23-153 - BY: COUNCILMEMBERS MORRELL, MORENO,
GIARRUSSO, HARRIS, KING, GREEN AND THOMAS
Brief:
A RESOLUTION AND ORDER APPOINTING HEARING OFFICER IN DOCKET NO.
UD-20-01 STREAMLINE ENTERGY NEW ORLEANS REPORTING REQUIREMENTS
TO THE NEW ORLEANS CITY COUNCIL
R-23-153
E. DOCKET NO. UD-20-01
Annotation:
(Joint Utility, Cable, Telecommunications and Technology Committee, Public Works,
Sanitation and Environmental Committee recommended approval).
(Council Rule 34. Postponement Deadline 8/18/23).
ADOPTED.
16. MOTION - NO. M-23-154 - BY: COUNCILMEMBERS THOMAS, MORRELL,
MORENO, GIARRUSSO, HARRIS, KING AND GREEN
Brief:
Directing Sewerage and Water Board of New Orleans (SWBNO) to file all reports required
under LA RS Â§ 33:4091 to the Clerk of Council for formal receipt on the City Council agenda,
with an electronic copy to the Council Utilities Regulatory Office.",Giarrusso,yeas
